school,major,name,keyword1,keword2,keword3,,,branch,region
한양대학교,융합전기전자공학,홍송남,Reinforcement Learning,machine learning,Optimization,,,전자,서울
한양대학교,융합전기전자공학,송익현,RF회로,방사선영향,광대역회로,,,전자,서울
서울대학교,국악과,김승근,,,,,,예체능,서울
서울대학교,국악과,임재원,,,,,,예체능,서울
서울대학교,국악과,이지영,,,,,,예체능,서울
서울대학교,국악과,양경숙,,,,,,예체능,서울
서울대학교,국악과,김우진,,,,,,예체능,서울
서울대학교,국악과,김경아,,,,,,예체능,서울
서울대학교,국악과,허윤정,,,,,,예체능,서울
중앙대학교,미술디자인학과,서혜옥,,,,,,예체능,서울
경희대학교,체육대학원,이만균,,,,,,예체능,서울
장안대학교,생활체육과,김태호,,,,,,예체능,경기
단국대학교,음악학부,이지은,,,,,,예체능,경기
KAIST,화학과,강진영,구조생물학,생화학,cryo-EM,,,화학,충청
기초과학연구원,나노물질 및 화학반응 연구단,김종구,Protein dynamics,Structural dynamics,X-ray electron laser,,,화학,서울
고려대학교,화학과,Stefan Ringe,electrochemistry,Machine Learning,quantum chemistry,,,화학,서울
강원대학교,화학과,임주현,,,,,,화학,강원
아주대학교,화학공학과,심태섭,광결정,연성로봇,자기조립,,,화학,경기
중앙대학교,화학공학과,홍성관,생화학,대사생화학,동물실험,,,화학,서울
한밭대학교,화학생명공학과,윤창민,반도체 소재,탄소,반도체,,,화학,충청
충남대학교,응용화학공학과,노고산,,,,,,화학,충청
숙명여자대학교,화학과,이민희,,,,,,화학,서울
충북대학교,공업화학과,조중상,배터리,재료공학,탄소복합소재,,,화학,충청
충북대학교,공업화학과,강동우,BET,Deep Eutectic Solvents,공용융매,,,화학,충청
국민대학교,응용화학부,이석묵,CAR/NK,면역세포 치료제,면역항암제,,,화학,서울
인하대학교,화학과,김민규,리튬 이온 전지,배터리,이차 전지,,,화학,인천
UST,의약화학과,김도연,,,,,,화학,충청
부경대학교,공업화학과,조계용,Batteries,Electrocatalysts,MOFs,,,화학,경상
동아대학교,화학공학과,양수철,고분자,나노,디바이스,,,화학,경상
광운대학교,화학과,사영진,,,,,,화학,서울
광운대학교,화학과,장홍제,,,,,,화학,서울
계명대학교,화학공학과,안유찬,,,,,,화학,경상
상명대학교(천안),그린화학공학과,강성민,기능성 재료,오가노이드,콜로이드,,,화학,서울
한국기술교육대학교,응용화학공학과,정용주,,,,,,화학,충청
한국교통대학교,나노화학소재공학과,김환,골조직공학,생체재료,재료의학,,,화학,충청
군산대학교,화학과,이민재,,,,,,화학,전라
부경대학교,화학과,박명기,,,,,,화학,경상
한국화학연구원,정밀바이오화학연구본부,안도원,광경화,점착제,고분자,,,화학,경상
한국에너지기술연구원 광주,친환경에너지연구센터,마지영,배터리,분리막,전기화학,,,화학,광주
부산대학교,화공생명환경공학부,제정호,CO2 업사이클링,바이오화학,수소,,,화학,경상
부산대학교,화공생명환경공학,이인규,공정설계,공정시스템,공정에너지평가,,,화학,경상
성균관대학교,화학공학솨,조수연,공정분석시스템,인공지능 센서 분석,센서 소재,,,화학,경기
경북대학교,응용화학공학,전종호,Organic synthesis,Diagnosis,molecular imaging,,,화학,경상
한국화학연구원,정밀바이오공학연구 ,유영창,controlled Radical polymerization,Vitrimers,Recyclable polymer materials,,,화학,경상
서울대학교,화학생물공학부,김소연,,,,,,화학,서울
서울대학교,화학생물공학부,김대형,,,,,,화학,서울
서울대학교,화학생물공학부,김도희,,,,,,화학,서울
서울대학교,화학생물공학부,김병기,,,,,,화학,서울
서울대학교,화학생물공학부,김병수,,,,,,화학,서울
서울대학교,화학생물공학부,김영규,,,,,,화학,서울
서울대학교,화학생물공학부,김재정,,,,,,화학,서울
서울대학교,화학생물공학부,남재욱,,,,,,화학,서울
KAIST,생명화학공학과,고동연,,,,,,화학,충청
KAIST,생명화학공학과,김도현,,,,,,화학,충청
KAIST,화학과,임미희,,,,,,화학,충청
POSTECH,화학공학과,김진곤,,,,,,화학,경상
POSTECH,화학공학과,조길원,고분자,유기전자 소재,유무기 하이브리드 소재,,,화학,경상
POSTECH,화학공학과,김영기,마이크로봇,액정,연성 물질,,,화학,경상
POSTECH,화학공학과,이준구,생화학,합성생물학,화학생물학,,,화학,경상
POSTECH,화학공학과,한지훈,ESG,인공지능,수소,,,화학,경상
POSTECH,화학공학과,손재성,Thin film,Thermoelectrics,Nanoparticle,,,화학,경상
부경대학교,화학공학과,이창수,고분자,기체분리막,슈퍼커패시터,,,화학,경상
